54.79452054794507, 159.09090909090992
92.46575342465735, 136.36363636363603
92.46575342465735, 250
143.835616438356, 250
143.835616438356, 409.0909090909099
191.78082191780805, 409.0909090909099
195.20547945205465, 704.545454545454
249.99999999999977, 727.2727272727279
246.57534246575324, 522.7272727272739
448.6301369863013, 477.27272727272793
547.9452054794519, 522.7272727272739
547.9452054794519, 431.818181818182
749.9999999999999, 522.7272727272739
945.2054794520546, 545.454545454546
1051.3698630136987, 363.63636363636397
1099.3150684931506, 363.63636363636397
1095.8904109589043, 272.7272727272739
1147.2602739726026, 272.7272727272739
1154.1095890410961, 9409.09090909091
1208.9041095890411, 9431.818181818182
1202.054794520548, 136.36363636363603
1301.3698630136987, 113.63636363636397
1308.2191780821918, 9386.363636363636
1359.5890410958905, 9386.363636363636
1359.5890410958905, 68.18181818181984
